date,nominal,curs,cdx
2009-01-01,1.0,29.3916,Доллар США
2009-02-01,1.0,29.3916,Доллар США
2009-03-01,1.0,29.3916,Доллар США
2009-04-01,1.0,33.9032,Доллар США
2009-05-01,1.0,32.974,Доллар США
2009-06-01,1.0,32.974,Доллар США
2009-07-01,1.0,31.0385,Доллар США
2009-08-01,1.0,31.1533,Доллар США
2009-09-01,1.0,31.8397,Доллар США
2009-10-01,1.0,30.0087,Доллар США
2009-11-01,1.0,30.0087,Доллар США
2009-12-01,1.0,29.0687,Доллар США
2010-01-01,1.0,30.1851,Доллар США
2010-02-01,1.0,30.1851,Доллар США
2010-03-01,1.0,30.1851,Доллар США
2010-04-01,1.0,29.4956,Доллар США
2010-05-01,1.0,29.1537,Доллар США
2010-06-01,1.0,30.74,Доллар США
2010-07-01,1.0,31.2554,Доллар США
2010-08-01,1.0,31.2554,Доллар США
2010-09-01,1.0,30.8669,Доллар США
2010-10-01,1.0,30.5126,Доллар США
2010-11-01,1.0,30.5126,Доллар США
2010-12-01,1.0,31.3335,Доллар США
2011-01-01,1.0,30.3505,Доллар США
2011-02-01,1.0,29.8018,Доллар США
2011-03-01,1.0,28.9028,Доллар США
2011-04-01,1.0,28.5162,Доллар США
2011-05-01,1.0,28.5162,Доллар США
2011-06-01,1.0,27.9805,Доллар США
2011-07-01,1.0,27.8726,Доллар США
2011-08-01,1.0,27.8726,Доллар США
2011-09-01,1.0,28.9278,Доллар США
2011-10-01,1.0,32.11,Доллар США
2011-11-01,1.0,30.1245,Доллар США
2011-12-01,1.0,31.4001,Доллар США
2012-01-01,1.0,31.4001,Доллар США
2012-02-01,1.0,30.3131,Доллар США
2012-03-01,1.0,29.0253,Доллар США
2012-04-01,1.0,29.0253,Доллар США
2012-05-01,1.0,29.0253,Доллар США
2012-06-01,1.0,32.9173,Доллар США
2012-07-01,1.0,32.9173,Доллар США
2012-08-01,1.0,32.2058,Доллар США
2012-09-01,1.0,32.5669,Доллар США
2012-10-01,1.0,32.5669,Доллар США
2012-11-01,1.0,31.3743,Доллар США
2012-12-01,1.0,30.811,Доллар США
2013-01-01,1.0,30.811,Доллар США
2013-02-01,1.0,30.0161,Доллар США
2013-03-01,1.0,30.5124,Доллар США
2013-04-01,1.0,30.5124,Доллар США
2013-05-01,1.0,31.0433,Доллар США
2013-06-01,1.0,31.7979,Доллар США
2013-07-01,1.0,31.7979,Доллар США
2013-08-01,1.0,33.033,Доллар США
2013-09-01,1.0,33.033,Доллар США
2013-10-01,1.0,32.4839,Доллар США
2013-11-01,1.0,32.0758,Доллар США
2013-12-01,1.0,32.0758,Доллар США
2014-01-01,1.0,32.6587,Доллар США
2014-02-01,1.0,35.18,Доллар США
2014-03-01,1.0,36.1847,Доллар США
2014-04-01,1.0,35.6053,Доллар США
2014-05-01,1.0,35.7227,Доллар США
2014-06-01,1.0,35.7227,Доллар США
2014-07-01,1.0,33.8434,Доллар США
2014-08-01,1.0,35.4438,Доллар США
2014-09-01,1.0,35.4438,Доллар США
2014-10-01,1.0,39.3836,Доллар США
2014-11-01,1.0,41.9627,Доллар США
2014-12-01,1.0,41.9627,Доллар США
2015-01-01,1.0,56.2376,Доллар США
2015-02-01,1.0,56.2376,Доллар США
2015-03-01,1.0,56.2376,Доллар США
2015-04-01,1.0,57.65,Доллар США
2015-05-01,1.0,51.1388,Доллар США
2015-06-01,1.0,51.1388,Доллар США
2015-07-01,1.0,55.8413,Доллар США
2015-08-01,1.0,60.3458,Доллар США
2015-09-01,1.0,66.7152,Доллар США
2015-10-01,1.0,65.7364,Доллар США
2015-11-01,1.0,65.7364,Доллар США
2015-12-01,1.0,66.737,Доллар США
2016-01-01,1.0,72.9299,Доллар США
2016-02-01,1.0,72.9299,Доллар США
2016-03-01,1.0,75.8994,Доллар США
2016-04-01,1.0,67.8552,Доллар США
2016-05-01,1.0,67.8552,Доллар США
2016-06-01,1.0,65.9962,Доллар США
2016-07-01,1.0,64.1755,Доллар США
2016-08-01,1.0,64.1755,Доллар США
2016-09-01,1.0,65.2535,Доллар США
2016-10-01,1.0,63.396,Доллар США
2016-11-01,1.0,63.2174,Доллар США
2016-12-01,1.0,65.2382,Доллар США
2017-01-01,1.0,65.2382,Доллар США
2017-02-01,1.0,60.0851,Доллар США
2017-03-01,1.0,57.9627,Доллар США
2017-04-01,1.0,55.9606,Доллар США
2017-05-01,1.0,55.9606,Доллар США
2017-06-01,1.0,56.6876,Доллар США
2017-07-01,1.0,59.3862,Доллар США
2017-08-01,1.0,60.0633,Доллар США
2017-09-01,1.0,58.5454,Доллар США
2017-10-01,1.0,58.5454,Доллар США
2017-11-01,1.0,58.1179,Доллар США
2017-12-01,1.0,58.5814,Доллар США
2018-01-01,1.0,58.5814,Доллар США
2018-02-01,1.0,56.184,Доллар США
2018-03-01,1.0,56.3742,Доллар США
2018-04-01,1.0,56.3742,Доллар США
2018-05-01,1.0,56.3742,Доллар США
2018-06-01,1.0,62.0188,Доллар США
2018-07-01,1.0,62.0188,Доллар США
2018-08-01,1.0,62.3497,Доллар США
2018-09-01,1.0,68.0447,Доллар США
2018-10-01,1.0,68.0447,Доллар США
2018-11-01,1.0,65.5962,Доллар США
2018-12-01,1.0,66.5335,Доллар США
2019-01-01,1.0,66.5335,Доллар США
2019-02-01,1.0,65.3577,Доллар США
2019-03-01,1.0,65.8895,Доллар США
2019-04-01,1.0,65.8895,Доллар США
2019-05-01,1.0,64.6314,Доллар США
2019-06-01,1.0,65.3834,Доллар США
2019-07-01,1.0,65.3834,Доллар США
2019-08-01,1.0,63.4172,Доллар США
2019-09-01,1.0,63.4172,Доллар США
2019-10-01,1.0,64.6407,Доллар США
2019-11-01,1.0,63.7748,Доллар США
2019-12-01,1.0,63.7748,Доллар США
2020-01-01,1.0,61.9057,Доллар США
2020-02-01,1.0,63.1385,Доллар США
2020-03-01,1.0,63.1385,Доллар США
2020-04-01,1.0,63.1385,Доллар США
2020-05-01,1.0,72.7263,Доллар США
2020-06-01,1.0,72.7263,Доллар США
2020-07-01,1.0,70.4413,Доллар США
2020-08-01,1.0,73.4261,Доллар США
2020-09-01,1.0,73.8039,Доллар США
2020-10-01,1.0,78.7847,Доллар США
2020-11-01,1.0,78.7847,Доллар США
2020-12-01,1.0,76.1999,Доллар США
2021-01-01,1.0,73.8757,Доллар США
2021-02-01,1.0,73.8757,Доллар США
2021-03-01,1.0,73.8757,Доллар США
2021-04-01,1.0,75.6373,Доллар США
2021-05-01,1.0,74.8451,Доллар США
2021-06-01,1.0,73.2965,Доллар США
2021-07-01,1.0,72.7234,Доллар США
2021-08-01,1.0,72.7234,Доллар США
2021-09-01,1.0,73.2781,Доллар США
2021-10-01,1.0,72.6642,Доллар США
2021-11-01,1.0,72.6642,Доллар США
2021-12-01,1.0,74.8926,Доллар США
2022-01-01,1.0,74.8926,Доллар США
2022-02-01,1.0,77.4702,Доллар США
2022-03-01,1.0,93.5589,Доллар США
2022-04-01,1.0,83.4097,Доллар США
2022-05-01,1.0,83.4097,Доллар США
2022-06-01,1.0,61.6069,Доллар США
2022-07-01,1.0,52.5123,Доллар США
2022-08-01,1.0,52.5123,Доллар США
2022-09-01,1.0,60.2386,Доллар США
2022-10-01,1.0,55.2987,Доллар США
2022-11-01,1.0,61.6229,Доллар США
2022-12-01,1.0,60.8803,Доллар США
2023-01-01,1.0,60.8803,Доллар США
2023-02-01,1.0,70.5174,Доллар США
