date,"ВВП в текущих ценах, млрд руб.","Рост ВВП (к предыдущему году), %","ВВП по ППС, в ценах 2018, млрд дол.","ВВП в текущих долларах, млрд","Индекс-дефлятор, %"
2009-01-01,38807.2,-7.8,3054.26,1309.17,102.0
2009-02-01,38807.2,-7.8,3054.26,1309.17,102.0
2009-03-01,38807.2,-7.8,3054.26,1309.17,102.0
2009-04-01,38807.2,-7.8,3054.26,1309.17,102.0
2009-05-01,38807.2,-7.8,3054.26,1309.17,102.0
2009-06-01,38807.2,-7.8,3054.26,1309.17,102.0
2009-07-01,38807.2,-7.8,3054.26,1309.17,102.0
2009-08-01,38807.2,-7.8,3054.26,1309.17,102.0
2009-09-01,38807.2,-7.8,3054.26,1309.17,102.0
2009-10-01,38807.2,-7.8,3054.26,1309.17,102.0
2009-11-01,38807.2,-7.8,3054.26,1309.17,102.0
2009-12-01,38807.2,-7.8,3054.26,1309.17,102.0
2010-01-01,46308.5,4.5,3229.0,1632.84,114.2
2010-02-01,46308.5,4.5,3229.0,1632.84,114.2
2010-03-01,46308.5,4.5,3229.0,1632.84,114.2
2010-04-01,46308.5,4.5,3229.0,1632.84,114.2
2010-05-01,46308.5,4.5,3229.0,1632.84,114.2
2010-06-01,46308.5,4.5,3229.0,1632.84,114.2
2010-07-01,46308.5,4.5,3229.0,1632.84,114.2
2010-08-01,46308.5,4.5,3229.0,1632.84,114.2
2010-09-01,46308.5,4.5,3229.0,1632.84,114.2
2010-10-01,46308.5,4.5,3229.0,1632.84,114.2
2010-11-01,46308.5,4.5,3229.0,1632.84,114.2
2010-12-01,46308.5,4.5,3229.0,1632.84,114.2
2011-01-01,60114.0,4.3,3463.46,2044.61,115.9
2011-02-01,60114.0,4.3,3463.46,2044.61,115.9
2011-03-01,60114.0,4.3,3463.46,2044.61,115.9
2011-04-01,60114.0,4.3,3463.46,2044.61,115.9
2011-05-01,60114.0,4.3,3463.46,2044.61,115.9
2011-06-01,60114.0,4.3,3463.46,2044.61,115.9
2011-07-01,60114.0,4.3,3463.46,2044.61,115.9
2011-08-01,60114.0,4.3,3463.46,2044.61,115.9
2011-09-01,60114.0,4.3,3463.46,2044.61,115.9
2011-10-01,60114.0,4.3,3463.46,2044.61,115.9
2011-11-01,60114.0,4.3,3463.46,2044.61,115.9
2011-12-01,60114.0,4.3,3463.46,2044.61,115.9
2012-01-01,68103.4,4.0,3660.5,2202.67,108.9
2012-02-01,68103.4,4.0,3660.5,2202.67,108.9
2012-03-01,68103.4,4.0,3660.5,2202.67,108.9
2012-04-01,68103.4,4.0,3660.5,2202.67,108.9
2012-05-01,68103.4,4.0,3660.5,2202.67,108.9
2012-06-01,68103.4,4.0,3660.5,2202.67,108.9
2012-07-01,68103.4,4.0,3660.5,2202.67,108.9
2012-08-01,68103.4,4.0,3660.5,2202.67,108.9
2012-09-01,68103.4,4.0,3660.5,2202.67,108.9
2012-10-01,68103.4,4.0,3660.5,2202.67,108.9
2012-11-01,68103.4,4.0,3660.5,2202.67,108.9
2012-12-01,68103.4,4.0,3660.5,2202.67,108.9
2013-01-01,72085.7,1.8,3791.77,2289.24,105.3
2013-02-01,72085.7,1.8,3791.77,2289.24,105.3
2013-03-01,72085.7,1.8,3791.77,2289.24,105.3
2013-04-01,72085.7,1.8,3791.77,2289.24,105.3
2013-05-01,72085.7,1.8,3791.77,2289.24,105.3
2013-06-01,72085.7,1.8,3791.77,2289.24,105.3
2013-07-01,72085.7,1.8,3791.77,2289.24,105.3
2013-08-01,72085.7,1.8,3791.77,2289.24,105.3
2013-09-01,72085.7,1.8,3791.77,2289.24,105.3
2013-10-01,72085.7,1.8,3791.77,2289.24,105.3
2013-11-01,72085.7,1.8,3791.77,2289.24,105.3
2013-12-01,72085.7,1.8,3791.77,2289.24,105.3
2014-01-01,79030.0,0.7,3890.55,2056.58,107.5
2014-02-01,79030.0,0.7,3890.55,2056.58,107.5
2014-03-01,79030.0,0.7,3890.55,2056.58,107.5
2014-04-01,79030.0,0.7,3890.55,2056.58,107.5
2014-05-01,79030.0,0.7,3890.55,2056.58,107.5
2014-06-01,79030.0,0.7,3890.55,2056.58,107.5
2014-07-01,79030.0,0.7,3890.55,2056.58,107.5
2014-08-01,79030.0,0.7,3890.55,2056.58,107.5
2014-09-01,79030.0,0.7,3890.55,2056.58,107.5
2014-10-01,79030.0,0.7,3890.55,2056.58,107.5
2014-11-01,79030.0,0.7,3890.55,2056.58,107.5
2014-12-01,79030.0,0.7,3890.55,2056.58,107.5
2015-01-01,83087.4,-2.0,3833.86,1363.7,107.2
2015-02-01,83087.4,-2.0,3833.86,1363.7,107.2
2015-03-01,83087.4,-2.0,3833.86,1363.7,107.2
2015-04-01,83087.4,-2.0,3833.86,1363.7,107.2
2015-05-01,83087.4,-2.0,3833.86,1363.7,107.2
2015-06-01,83087.4,-2.0,3833.86,1363.7,107.2
2015-07-01,83087.4,-2.0,3833.86,1363.7,107.2
2015-08-01,83087.4,-2.0,3833.86,1363.7,107.2
2015-09-01,83087.4,-2.0,3833.86,1363.7,107.2
2015-10-01,83087.4,-2.0,3833.86,1363.7,107.2
2015-11-01,83087.4,-2.0,3833.86,1363.7,107.2
2015-12-01,83087.4,-2.0,3833.86,1363.7,107.2
2016-01-01,85616.1,0.2,3887.39,1282.66,102.8
2016-02-01,85616.1,0.2,3887.39,1282.66,102.8
2016-03-01,85616.1,0.2,3887.39,1282.66,102.8
2016-04-01,85616.1,0.2,3887.39,1282.66,102.8
2016-05-01,85616.1,0.2,3887.39,1282.66,102.8
2016-06-01,85616.1,0.2,3887.39,1282.66,102.8
2016-07-01,85616.1,0.2,3887.39,1282.66,102.8
2016-08-01,85616.1,0.2,3887.39,1282.66,102.8
2016-09-01,85616.1,0.2,3887.39,1282.66,102.8
2016-10-01,85616.1,0.2,3887.39,1282.66,102.8
2016-11-01,85616.1,0.2,3887.39,1282.66,102.8
2016-12-01,85616.1,0.2,3887.39,1282.66,102.8
2017-01-01,91843.2,1.8,4026.53,1578.41,105.3
2017-02-01,91843.2,1.8,4026.53,1578.41,105.3
2017-03-01,91843.2,1.8,4026.53,1578.41,105.3
2017-04-01,91843.2,1.8,4026.53,1578.41,105.3
2017-05-01,91843.2,1.8,4026.53,1578.41,105.3
2017-06-01,91843.2,1.8,4026.53,1578.41,105.3
2017-07-01,91843.2,1.8,4026.53,1578.41,105.3
2017-08-01,91843.2,1.8,4026.53,1578.41,105.3
2017-09-01,91843.2,1.8,4026.53,1578.41,105.3
2017-10-01,91843.2,1.8,4026.53,1578.41,105.3
2017-11-01,91843.2,1.8,4026.53,1578.41,105.3
2017-12-01,91843.2,1.8,4026.53,1578.41,105.3
2018-01-01,103861.7,2.8,4213.4,1630.66,110.0
2018-02-01,103861.7,2.8,4213.4,1630.66,110.0
2018-03-01,103861.7,2.8,4213.4,1630.66,110.0
2018-04-01,103861.7,2.8,4213.4,1630.66,110.0
2018-05-01,103861.7,2.8,4213.4,1630.66,110.0
2018-06-01,103861.7,2.8,4213.4,1630.66,110.0
2018-07-01,103861.7,2.8,4213.4,1630.66,110.0
2018-08-01,103861.7,2.8,4213.4,1630.66,110.0
2018-09-01,103861.7,2.8,4213.4,1630.66,110.0
2018-10-01,103861.7,2.8,4213.4,1630.66,110.0
2018-11-01,103861.7,2.8,4213.4,1630.66,110.0
2018-12-01,103861.7,2.8,4213.4,1630.66,110.0
2019-01-01,109608.3,2.2,4284.37,1693.32,103.3
2019-02-01,109608.3,2.2,4284.37,1693.32,103.3
2019-03-01,109608.3,2.2,4284.37,1693.32,103.3
2019-04-01,109608.3,2.2,4284.37,1693.32,103.3
2019-05-01,109608.3,2.2,4284.37,1693.32,103.3
2019-06-01,109608.3,2.2,4284.37,1693.32,103.3
2019-07-01,109608.3,2.2,4284.37,1693.32,103.3
2019-08-01,109608.3,2.2,4284.37,1693.32,103.3
2019-09-01,109608.3,2.2,4284.37,1693.32,103.3
2019-10-01,109608.3,2.2,4284.37,1693.32,103.3
2019-11-01,109608.3,2.2,4284.37,1693.32,103.3
2019-12-01,109608.3,2.2,4284.37,1693.32,103.3
2020-01-01,107658.2,-2.7,4096.53,1491.73,100.9
2020-02-01,107658.2,-2.7,4096.53,1491.73,100.9
2020-03-01,107658.2,-2.7,4096.53,1491.73,100.9
2020-04-01,107658.2,-2.7,4096.53,1491.73,100.9
2020-05-01,107658.2,-2.7,4096.53,1491.73,100.9
2020-06-01,107658.2,-2.7,4096.53,1491.73,100.9
2020-07-01,107658.2,-2.7,4096.53,1491.73,100.9
2020-08-01,107658.2,-2.7,4096.53,1491.73,100.9
2020-09-01,107658.2,-2.7,4096.53,1491.73,100.9
2020-10-01,107658.2,-2.7,4096.53,1491.73,100.9
2020-11-01,107658.2,-2.7,4096.53,1491.73,100.9
2020-12-01,107658.2,-2.7,4096.53,1491.73,100.9
2021-01-01,135295.0,5.6,4490.0,1780.0,119.0
2021-02-01,135295.0,5.6,4490.0,1780.0,119.0
2021-03-01,135295.0,5.6,4490.0,1780.0,119.0
2021-04-01,135295.0,5.6,4490.0,1780.0,119.0
2021-05-01,135295.0,5.6,4490.0,1780.0,119.0
2021-06-01,135295.0,5.6,4490.0,1780.0,119.0
2021-07-01,135295.0,5.6,4490.0,1780.0,119.0
2021-08-01,135295.0,5.6,4490.0,1780.0,119.0
2021-09-01,135295.0,5.6,4490.0,1780.0,119.0
2021-10-01,135295.0,5.6,4490.0,1780.0,119.0
2021-11-01,135295.0,5.6,4490.0,1780.0,119.0
2021-12-01,135295.0,5.6,4490.0,1780.0,119.0
2022-01-01,151455.6,-2.1,4700.0,2130.0,114.3
2022-02-01,151455.6,-2.1,4700.0,2130.0,114.3
2022-03-01,151455.6,-2.1,4700.0,2130.0,114.3
2022-04-01,151455.6,-2.1,4700.0,2130.0,114.3
2022-05-01,151455.6,-2.1,4700.0,2130.0,114.3
2022-06-01,151455.6,-2.1,4700.0,2130.0,114.3
2022-07-01,151455.6,-2.1,4700.0,2130.0,114.3
2022-08-01,151455.6,-2.1,4700.0,2130.0,114.3
2022-09-01,151455.6,-2.1,4700.0,2130.0,114.3
2022-10-01,151455.6,-2.1,4700.0,2130.0,114.3
2022-11-01,151455.6,-2.1,4700.0,2130.0,114.3
2022-12-01,151455.6,-2.1,4700.0,2130.0,114.3
